Bill_ID,Date,Product_Name,Quantity,Unit_Price,Total_Price,Bill_Total
1,2026-01-01,Finger_Ring,4,55.0,220.0,690.0
1,2026-01-01,Earrings,1,240.0,240.0,690.0
1,2026-01-01,Eyeliner,2,90.0,180.0,690.0
1,2026-01-01,Sindoor,1,35.0,35.0,690.0
1,2026-01-01,Bindi_Packets,1,15.0,15.0,690.0
2,2026-01-01,Eyeliner,4,85.0,340.0,1160.0
2,2026-01-01,Necklace,1,475.0,475.0,1160.0
2,2026-01-01,Finger_Ring,1,85.0,85.0,1160.0
2,2026-01-01,Hair_Pins,4,20.0,80.0,1160.0
2,2026-01-01,Earrings,2,85.0,170.0,1160.0
2,2026-01-01,Bindi_Packets,1,10.0,10.0,1160.0
3,2026-01-01,Hair_Pins,1,25.0,25.0,860.0
3,2026-01-01,Safety_Pins,1,20.0,20.0,860.0
3,2026-01-01,Safety_Pins,4,25.0,100.0,860.0
3,2026-01-01,Hair_Pins,1,25.0,25.0,860.0
3,2026-01-01,Pocket_Mirror,1,50.0,50.0,860.0
3,2026-01-01,Fancy_Chain,4,65.0,260.0,860.0
3,2026-01-01,Hair_Pins,4,15.0,60.0,860.0
3,2026-01-01,Bangles,2,130.0,260.0,860.0
3,2026-01-01,Safety_Pins,1,10.0,10.0,860.0
3,2026-01-01,Comb,1,40.0,40.0,860.0
3,2026-01-01,Hair_Pins,1,10.0,10.0,860.0
4,2026-01-02,Bangles,3,300.0,900.0,1265.0
4,2026-01-02,Hair_Clips,1,70.0,70.0,1265.0
4,2026-01-02,Hair_Pins,4,15.0,60.0,1265.0
4,2026-01-02,Finger_Ring,2,85.0,170.0,1265.0
4,2026-01-02,Bangles,1,50.0,50.0,1265.0
4,2026-01-02,Bindi_Packets,1,15.0,15.0,1265.0
5,2026-01-02,Earrings,4,120.0,480.0,650.0
5,2026-01-02,Earrings,1,120.0,120.0,650.0
5,2026-01-02,Pocket_Mirror,1,50.0,50.0,650.0
6,2026-01-02,Fancy_Chain,1,125.0,125.0,915.0
6,2026-01-02,Bindi_Packets,4,10.0,40.0,915.0
6,2026-01-02,Hair_Clips,1,70.0,70.0,915.0
6,2026-01-02,Comb,3,30.0,90.0,915.0
6,2026-01-02,Comb,3,50.0,150.0,915.0
6,2026-01-02,Hair_Pins,1,15.0,15.0,915.0
6,2026-01-02,Eyeliner,3,100.0,300.0,915.0
6,2026-01-02,Lipstick,1,95.0,95.0,915.0
6,2026-01-02,Sindoor,1,30.0,30.0,915.0
7,2026-01-02,Earrings,2,240.0,480.0,795.0
7,2026-01-02,Nail_Polish,3,50.0,150.0,795.0
7,2026-01-02,Comb,2,50.0,100.0,795.0
7,2026-01-02,Fancy_Chain,1,45.0,45.0,795.0
7,2026-01-02,Safety_Pins,2,10.0,20.0,795.0
8,2026-01-03,Earrings,4,155.0,620.0,1120.0
8,2026-01-03,Lipstick,4,100.0,400.0,1120.0
8,2026-01-03,Hair_Bands,2,20.0,40.0,1120.0
8,2026-01-03,Sindoor,1,35.0,35.0,1120.0
8,2026-01-03,Hair_Bands,1,25.0,25.0,1120.0
9,2026-01-03,Earrings,1,205.0,205.0,670.0
9,2026-01-03,Hair_Bands,1,40.0,40.0,670.0
9,2026-01-03,Kajal,3,70.0,210.0,670.0
9,2026-01-03,Comb,3,60.0,180.0,670.0
9,2026-01-03,Bindi_Packets,1,15.0,15.0,670.0
9,2026-01-03,Hair_Pins,2,10.0,20.0,670.0
10,2026-01-04,Bangles,1,90.0,90.0,910.0
10,2026-01-04,Safety_Pins,1,20.0,20.0,910.0
10,2026-01-04,Lipstick,1,80.0,80.0,910.0
10,2026-01-04,Eyeliner,3,95.0,285.0,910.0
10,2026-01-04,Finger_Ring,2,85.0,170.0,910.0
10,2026-01-04,Sindoor,3,25.0,75.0,910.0
10,2026-01-04,Hair_Clips,1,70.0,70.0,910.0
10,2026-01-04,Bangles,1,110.0,110.0,910.0
10,2026-01-04,Safety_Pins,1,10.0,10.0,910.0
11,2026-01-05,Lipstick,1,100.0,100.0,1005.0
11,2026-01-05,Sindoor,2,45.0,90.0,1005.0
11,2026-01-05,Bangles,1,400.0,400.0,1005.0
11,2026-01-05,Fancy_Chain,2,65.0,130.0,1005.0
11,2026-01-05,Sindoor,4,35.0,140.0,1005.0
11,2026-01-05,Bangles,1,110.0,110.0,1005.0
11,2026-01-05,Safety_Pins,1,25.0,25.0,1005.0
11,2026-01-05,Safety_Pins,1,10.0,10.0,1005.0
12,2026-01-05,Bangles_,1,450.0,450.0,630.0
12,2026-01-05,Hair_Clips,3,50.0,150.0,630.0
12,2026-01-05,Hair_Bands,1,30.0,30.0,630.0
13,2026-01-05,Eyeliner,2,95.0,190.0,600.0
13,2026-01-05,Bangles,1,400.0,400.0,600.0
13,2026-01-05,Safety_Pins,1,10.0,10.0,600.0
14,2026-01-05,Kajal,4,90.0,360.0,1235.0
14,2026-01-05,Necklace,1,525.0,525.0,1235.0
14,2026-01-05,Sindoor,1,30.0,30.0,1235.0
14,2026-01-05,Bangles,1,130.0,130.0,1235.0
14,2026-01-05,Earrings,1,190.0,190.0,1235.0
15,2026-01-05,Earrings,1,275.0,275.0,820.0
15,2026-01-05,Hair_Pins,3,25.0,75.0,820.0
15,2026-01-05,Pocket_Mirror,1,35.0,35.0,820.0
15,2026-01-05,Bangles,1,50.0,50.0,820.0
15,2026-01-05,Kajal,2,70.0,140.0,820.0
15,2026-01-05,Lipstick,1,90.0,90.0,820.0
15,2026-01-05,Hair_Pins,2,20.0,40.0,820.0
15,2026-01-05,Hair_Clips,1,80.0,80.0,820.0
15,2026-01-05,Safety_Pins,1,25.0,25.0,820.0
15,2026-01-05,Safety_Pins,1,10.0,10.0,820.0
16,2026-01-06,Earrings,4,240.0,960.0,1055.0
16,2026-01-06,Hair_Clips,2,40.0,80.0,1055.0
16,2026-01-06,Bindi_Packets,1,15.0,15.0,1055.0
17,2026-01-07,Hair_Pins,1,20.0,20.0,1275.0
17,2026-01-07,Nail_Polish,2,55.0,110.0,1275.0
17,2026-01-07,Hair_Clips,3,40.0,120.0,1275.0
17,2026-01-07,Hair_Bands,4,25.0,100.0,1275.0
17,2026-01-07,Hair_Bands,2,20.0,40.0,1275.0
17,2026-01-07,Fancy_Chain,2,125.0,250.0,1275.0
17,2026-01-07,Lipstick,3,95.0,285.0,1275.0
17,2026-01-07,Comb,2,20.0,40.0,1275.0
17,2026-01-07,Bangles,1,250.0,250.0,1275.0
17,2026-01-07,Nail_Polish,1,40.0,40.0,1275.0
17,2026-01-07,Comb,1,20.0,20.0,1275.0
18,2026-01-07,Nail_Polish,1,45.0,45.0,1245.0
18,2026-01-07,Hair_Clips,3,60.0,180.0,1245.0
18,2026-01-07,Earrings,2,240.0,480.0,1245.0
18,2026-01-07,Hair_Clips,2,40.0,80.0,1245.0
18,2026-01-07,Lipstick,2,80.0,160.0,1245.0
18,2026-01-07,Earrings,3,85.0,255.0,1245.0
18,2026-01-07,Safety_Pins,1,20.0,20.0,1245.0
18,2026-01-07,Hair_Pins,1,10.0,10.0,1245.0
18,2026-01-07,Bindi_Packets,1,15.0,15.0,1245.0
19,2026-01-07,Sindoor,4,30.0,120.0,1255.0
19,2026-01-07,Hair_Clips,1,70.0,70.0,1255.0
19,2026-01-07,Earrings_,1,170.0,170.0,1255.0
19,2026-01-07,Necklace,1,790.0,790.0,1255.0
19,2026-01-07,Lipstick,1,80.0,80.0,1255.0
19,2026-01-07,Safety_Pins,1,10.0,10.0,1255.0
19,2026-01-07,Bindi_Packets,1,15.0,15.0,1255.0
20,2026-01-08,Hair_Clips,3,80.0,240.0,1125.0
20,2026-01-08,Hair_Clips,1,80.0,80.0,1125.0
20,2026-01-08,Hair_Bands,3,25.0,75.0,1125.0
20,2026-01-08,Hair_Clips,3,60.0,180.0,1125.0
20,2026-01-08,Necklace,1,525.0,525.0,1125.0
20,2026-01-08,Bindi_Packets,1,15.0,15.0,1125.0
20,2026-01-08,Safety_Pins,1,10.0,10.0,1125.0
