Bill_ID,Bill_Date,Product_Name,Quantity,Unit_Price,Total_Price,Bill_Total
1,2026-03-14,Bindi_Packets_5,1,15.0,15.0,3580.0
1,2026-03-14,Finger_Ring_1,2,85.0,170.0,3580.0
1,2026-03-14,Fancy_Chain_4,3,105.0,315.0,3580.0
1,2026-03-14,Necklace_2,1,630.0,630.0,3580.0
1,2026-03-14,Hair_Clips_4,5,70.0,350.0,3580.0
1,2026-03-14,Necklace_4,4,525.0,2100.0,3580.0
2,2026-01-10,Necklace_4,1,525.0,525.0,950.0
2,2026-01-10,Finger_Ring_1,5,85.0,425.0,950.0
3,2026-02-15,Fancy_Chain_4,3,105.0,315.0,525.0
3,2026-02-15,Nail_Polish_5,3,60.0,180.0,525.0
3,2026-02-15,Hair_Pins_5,1,30.0,30.0,525.0
4,2026-02-11,Sindoor_5,4,45.0,180.0,1230.0
4,2026-02-11,Bangles_4,5,110.0,550.0,1230.0
4,2026-02-11,Bangles_6,2,250.0,500.0,1230.0
5,2026-01-03,Fancy_Chain_4,5,105.0,525.0,1605.0
5,2026-01-03,Bangles_5,2,130.0,260.0,1605.0
5,2026-01-03,Hair_Pins_1,2,10.0,20.0,1605.0
5,2026-01-03,Earrings_1,2,50.0,100.0,1605.0
5,2026-01-03,Finger_Ring_4,4,40.0,160.0,1605.0
5,2026-01-03,Comb_3,1,40.0,40.0,1605.0
5,2026-01-03,Lipstick_5,5,100.0,500.0,1605.0
6,2026-03-26,Sindoor_4,2,40.0,80.0,830.0
6,2026-03-26,Comb_5,4,60.0,240.0,830.0
6,2026-03-26,Eyeliner_4,1,95.0,95.0,830.0
6,2026-03-26,Fancy_Chain_2,4,65.0,260.0,830.0
6,2026-03-26,Earrings_4,1,155.0,155.0,830.0
7,2026-03-25,Necklace_3,2,475.0,950.0,2040.0
7,2026-03-25,Bangles_6,4,250.0,1000.0,2040.0
7,2026-03-25,Nail_Polish_2,2,45.0,90.0,2040.0
8,2026-01-09,Sindoor_4,2,40.0,80.0,1465.0
8,2026-01-09,Hair_Bands_4,3,30.0,90.0,1465.0
8,2026-01-09,Razor_1,3,90.0,270.0,1465.0
8,2026-01-09,Finger_Ring_3,3,45.0,135.0,1465.0
8,2026-01-09,Earrings_8,2,240.0,480.0,1465.0
8,2026-01-09,Hair_Clips_1,4,40.0,160.0,1465.0
8,2026-01-09,Bangles_6,1,250.0,250.0,1465.0
9,2026-03-04,Lipstick_5,3,100.0,300.0,3755.0
9,2026-03-04,Bangles_3,4,90.0,360.0,3755.0
9,2026-03-04,Earrings_1,2,50.0,100.0,3755.0
9,2026-03-04,Bangles_5,1,130.0,130.0,3755.0
9,2026-03-04,Necklace_4,5,525.0,2625.0,3755.0
9,2026-03-04,Nail_Polish_3,2,50.0,100.0,3755.0
9,2026-03-04,Hair_Clips_4,2,70.0,140.0,3755.0
10,2026-03-11,Necklace_1,5,790.0,3950.0,5685.0
10,2026-03-11,Fancy_Chain_4,2,105.0,210.0,5685.0
10,2026-03-11,Finger_Ring_4,4,40.0,160.0,5685.0
10,2026-03-11,Earrings_7,2,275.0,550.0,5685.0
10,2026-03-11,Earrings_4,5,155.0,775.0,5685.0
10,2026-03-11,Hair_Bands_2,2,20.0,40.0,5685.0
11,2026-02-06,Bangles_9,2,400.0,800.0,1285.0
11,2026-02-06,Earrings_9,2,205.0,410.0,1285.0
11,2026-02-06,Bindi_Packets_5,1,15.0,15.0,1285.0
11,2026-02-06,Hair_Pins_3,3,20.0,60.0,1285.0
12,2026-03-04,Finger_Ring_4,1,40.0,40.0,660.0
12,2026-03-04,Bangles_1,3,50.0,150.0,660.0
12,2026-03-04,Lipstick_2,2,85.0,170.0,660.0
12,2026-03-04,Lipstick_5,3,100.0,300.0,660.0
13,2026-01-07,Sindoor_5,2,45.0,90.0,695.0
13,2026-01-07,Pocket_Mirror_3,1,75.0,75.0,695.0
13,2026-01-07,Lipstick_1,5,80.0,400.0,695.0
13,2026-01-07,Bindi_Packets_3,4,15.0,60.0,695.0
13,2026-01-07,Sindoor_3,2,35.0,70.0,695.0
14,2026-02-19,Pocket_Mirror_1,4,35.0,140.0,1455.0
14,2026-02-19,Safety_Pins_3,3,25.0,75.0,1455.0
14,2026-02-19,Lipstick_5,5,100.0,500.0,1455.0
14,2026-02-19,Earrings_5,1,190.0,190.0,1455.0
14,2026-02-19,Eyeliner_5,4,100.0,400.0,1455.0
14,2026-02-19,Safety_Pins_2,3,20.0,60.0,1455.0
14,2026-02-19,Hair_Pins_1,3,10.0,30.0,1455.0
14,2026-02-19,Bindi_Packets_5,4,15.0,60.0,1455.0
15,2026-02-20,Earrings_3,2,120.0,240.0,275.0
15,2026-02-20,Pocket_Mirror_1,1,35.0,35.0,275.0
16,2026-01-27,Bangles_10,2,450.0,900.0,1940.0
16,2026-01-27,Bangles_8,2,350.0,700.0,1940.0
16,2026-01-27,Razor_2,1,100.0,100.0,1940.0
16,2026-01-27,Sindoor_3,4,35.0,140.0,1940.0
16,2026-01-27,Eyeliner_5,1,100.0,100.0,1940.0
17,2026-02-04,Finger_Ring_2,4,65.0,260.0,6885.0
17,2026-02-04,Necklace_3,5,475.0,2375.0,6885.0
17,2026-02-04,Bangles_8,1,350.0,350.0,6885.0
17,2026-02-04,Sindoor_3,5,35.0,175.0,6885.0
17,2026-02-04,Eyeliner_5,4,100.0,400.0,6885.0
17,2026-02-04,Bangles_9,4,400.0,1600.0,6885.0
17,2026-02-04,Earrings_8,5,240.0,1200.0,6885.0
17,2026-02-04,Fancy_Chain_4,5,105.0,525.0,6885.0
18,2026-01-07,Razor_1,5,90.0,450.0,450.0
19,2026-03-21,Bindi_Packets_4,2,15.0,30.0,615.0
19,2026-03-21,Bindi_Packets_5,2,15.0,30.0,615.0
19,2026-03-21,Nail_Polish_4,5,55.0,275.0,615.0
19,2026-03-21,Lipstick_1,2,80.0,160.0,615.0
19,2026-03-21,Sindoor_4,3,40.0,120.0,615.0
20,2026-01-10,Razor_2,3,100.0,300.0,1880.0
20,2026-01-10,Bangles_5,2,130.0,260.0,1880.0
20,2026-01-10,Earrings_8,5,240.0,1200.0,1880.0
20,2026-01-10,Hair_Clips_3,2,60.0,120.0,1880.0
21,2026-02-06,Earrings_5,1,190.0,190.0,3905.0
21,2026-02-06,Earrings_9,5,205.0,1025.0,3905.0
21,2026-02-06,Necklace_1,1,790.0,790.0,3905.0
21,2026-02-06,Necklace_3,4,475.0,1900.0,3905.0
22,2026-03-24,Lipstick_4,4,95.0,380.0,485.0
22,2026-03-24,Fancy_Chain_1,1,45.0,45.0,485.0
22,2026-03-24,Hair_Bands_2,3,20.0,60.0,485.0
23,2026-01-03,Bangles_5,3,130.0,390.0,1325.0
23,2026-01-03,Sindoor_3,1,35.0,35.0,1325.0
23,2026-01-03,Kajal_2,2,90.0,180.0,1325.0
23,2026-01-03,Earrings_8,3,240.0,720.0,1325.0
24,2026-01-24,Hair_Pins_2,2,15.0,30.0,990.0
24,2026-01-24,Lipstick_3,3,90.0,270.0,990.0
24,2026-01-24,Fancy_Chain_1,2,45.0,90.0,990.0
24,2026-01-24,Hair_Clips_2,3,50.0,150.0,990.0
24,2026-01-24,Bangles_3,5,90.0,450.0,990.0
25,2026-01-08,Earrings_3,4,120.0,480.0,3530.0
25,2026-01-08,Bangles_7,5,300.0,1500.0,3530.0
25,2026-01-08,Earrings_8,4,240.0,960.0,3530.0
25,2026-01-08,Necklace_5,1,450.0,450.0,3530.0
25,2026-01-08,Bangles_2,2,70.0,140.0,3530.0
26,2026-01-10,Hair_Clips_1,3,40.0,120.0,200.0
26,2026-01-10,Comb_1,4,20.0,80.0,200.0
27,2026-02-12,Hair_Clips_4,3,70.0,210.0,895.0
27,2026-02-12,Hair_Bands_5,3,35.0,105.0,895.0
27,2026-02-12,Comb_1,3,20.0,60.0,895.0
27,2026-02-12,Bangles_5,4,130.0,520.0,895.0
28,2026-01-14,Finger_Ring_4,2,40.0,80.0,645.0
28,2026-01-14,Bindi_Packets_4,3,15.0,45.0,645.0
28,2026-01-14,Lipstick_3,5,90.0,450.0,645.0
28,2026-01-14,Hair_Bands_5,2,35.0,70.0,645.0
29,2026-02-09,Bindi_Packets_3,2,15.0,30.0,1350.0
29,2026-02-09,Necklace_3,1,475.0,475.0,1350.0
29,2026-02-09,Safety_Pins_2,1,20.0,20.0,1350.0
29,2026-02-09,Hair_Pins_4,5,25.0,125.0,1350.0
29,2026-02-09,Finger_Ring_4,4,40.0,160.0,1350.0
29,2026-02-09,Razor_2,2,100.0,200.0,1350.0
29,2026-02-09,Earrings_2,4,85.0,340.0,1350.0
30,2026-02-23,Nail_Polish_5,5,60.0,300.0,1605.0
30,2026-02-23,Necklace_2,1,630.0,630.0,1605.0
30,2026-02-23,Lipstick_4,5,95.0,475.0,1605.0
30,2026-02-23,Nail_Polish_1,5,40.0,200.0,1605.0
31,2026-01-05,Hair_Clips_4,3,70.0,210.0,3395.0
31,2026-01-05,Bangles_3,3,90.0,270.0,3395.0
31,2026-01-05,Earrings_1,4,50.0,200.0,3395.0
31,2026-01-05,Hair_Pins_5,3,30.0,90.0,3395.0
31,2026-01-05,Necklace_4,5,525.0,2625.0,3395.0
32,2026-01-10,Bangles_7,4,300.0,1200.0,1545.0
32,2026-01-10,Bindi_Packets_1,3,10.0,30.0,1545.0
32,2026-01-10,Eyeliner_4,2,95.0,190.0,1545.0
32,2026-01-10,Hair_Pins_1,5,10.0,50.0,1545.0
32,2026-01-10,Pocket_Mirror_3,1,75.0,75.0,1545.0
