Product_Name,Product_Price
Necklace_1,790
Necklace_2,630
Necklace_3,475
Necklace_4,525
Necklace_5,450
Fancy_Chain_1,45
Fancy_Chain_2,65
Fancy_Chain_3,85
Fancy_Chain_4,105
Fancy_Chain_5,125
Earrings_1,50
Earrings_2,85
Earrings_3,120
Earrings_4,155
Earrings_5,190
Earrings_7,275
Earrings_8,240
Earrings_9,205
Earrings_10,170
Finger_Ring_1,85
Finger_Ring_2,65
Finger_Ring_3,45
Finger_Ring_4,40
Finger_Ring_5,55
Lipstick_1,80
Lipstick_2,85
Lipstick_3,90
Lipstick_4,95
Lipstick_5,100
Eyeliner_1,80
Eyeliner_2,85
Eyeliner_3,90
Eyeliner_4,95
Eyeliner_5,100
Kajal_1,70
Kajal_2,90
Nail_Polish_1,40
Nail_Polish_2,45
Nail_Polish_3,50
Nail_Polish_4,55
Nail_Polish_5,60
Sindoor_1,25
Sindoor_2,30
Sindoor_3,35
Sindoor_4,40
Sindoor_5,45
Bindi_Packets_1,10
Bindi_Packets_2,15
Bindi_Packets_3,15
Bindi_Packets_4,15
Bindi_Packets_5,15
Comb_1,20
Comb_2,30
Comb_3,40
Comb_4,50
Comb_5,60
Hair_Clips_1,40
Hair_Clips_2,50
Hair_Clips_3,60
Hair_Clips_4,70
Hair_Clips_5,80
Hair_Pins_1,10
Hair_Pins_2,15
Hair_Pins_3,20
Hair_Pins_4,25
Hair_Pins_5,30
Hair_Bands_1,40
Hair_Bands_2,20
Hair_Bands_3,25
Hair_Bands_4,30
Hair_Bands_5,35
Bangles_1,50
Bangles_2,70
Bangles_3,90
Bangles_4,110
Bangles_5,130
Bangles_6,250
Bangles_7,300
Bangles_8,350
Bangles_9,400
Bangles_10,450
Razor_1,90
Razor_2,100
Safety_Pins_1,10
Safety_Pins_2,20
Safety_Pins_3,25
Pocket_Mirror_1,35
Pocket_Mirror_2,50
Pocket_Mirror_3,75
