month,employee_monthly_contribution,epf_rate
23-Apr,7970,8.25
23-May,9305,8.25
23-Jun,71341,8.25
23-Jul,71341,8.25
23-Aug,71341,8.25
23-Sep,71341,8.25
23-Oct,77545,8.25
23-Nov,77545,8.25
23-Dec,77545,8.25
24-Jan,19386,8.25
24-Feb,19386,8.25
24-Mar,33344,8.25
24-Apr,33344,8.25
24-May,38346,8.25
24-Jun,38346,8.25
24-Jul,38346,8.25
24-Aug,38346,8.25
24-Sep,38346,8.25
24-Oct,89177,8.25
24-Nov,10701,8.25
24-Dec,10701,8.25
25-Jan,10701,8.25
25-Feb,10701,8.25
25-Mar,10701,8.25
25-Apr,10701,8.25
25-May,11664,8.25
25-Jun,11664,8.25
25-Jul,11664,8.25
25-Aug,11664,8.25
25-Sep,11664,8.25
25-Oct,50545,8.25
25-Nov,50545,8.25
25-Dec,50545,8.25
26-Jan,50545,8.25
26-Feb,50545,8.25
26-Mar,50545,8.25
